iter	Passed	Remaining
811	34831	8064
812	34883	8023
813	34944	7984
814	35001	7945
815	35056	7904
816	35111	7864
817	35166	7824
818	35226	7785
819	35284	7745
820	35337	7704
821	35389	7663
822	35439	7621
823	35481	7578
824	35520	7534
825	35563	7491
826	35605	7448
827	35650	7405
828	35688	7361
829	35729	7318
830	35769	7274
831	35820	7232
832	35858	7189
833	35896	7144
834	35938	7101
835	35975	7057
836	36011	7012
837	36052	6969
838	36091	6925
839	36127	6881
840	36164	6837
841	36200	6792
842	36239	6749
843	36279	6705
844	36319	6662
845	36362	6619
846	36407	6576
847	36459	6535
848	36505	6492
849	36555	6450
850	36603	6408
851	36646	6365
852	36695	6323
853	36741	6281
854	36792	6239
855	36839	6197
856	36885	6154
857	36927	6111
858	36972	6068
859	37020	6026
860	37060	5983
861	37099	5939
862	37140	5896
863	37178	5852
864	37213	5807
865	37248	5763
866	37282	5719
867	37314	5674
868	37348	5630
869	37383	5585
870	37420	5542
871	37453	5497
872	37487	5453
873	37519	5409
874	37554	5364
875	37592	5321
876	37627	5277
877	37662	5233
878	37699	5189
879	37736	5145
880	37778	5102
881	37813	5058
882	37847	5014
883	37881	4970
884	37917	4927
885	37952	4883
886	37984	4839
887	38017	4794
888	38051	4751
889	38084	4707
890	38118	4663
891	38151	4619
892	38184	4575
893	38219	4531
894	38254	4487
895	38287	4444
896	38321	4400
897	38353	4356
898	38386	4312
899	38419	4268
900	38451	4225
901	38484	4181
902	38519	4137
903	38553	4094
904	38587	4050
905	38621	4007
906	38656	3963
907	38693	3920
908	38735	3877
909	38776	3835
910	38820	3792
911	38855	3749
912	38889	3705
913	38926	3662
914	38960	3619
915	38992	3575
916	39027	3532
917	39061	3489
918	39096	3445
919	39132	3402
920	39169	3359
921	39206	3316
922	39241	3273
923	39275	3230
924	39312	3187
925	39350	3144
926	39386	3101
927	39421	3058
928	39458	3015
929	39493	2972
930	39528	2929
931	39564	2886
932	39599	2843
933	39635	2800
934	39678	2758
935	39734	2716
936	39795	2675
937	39832	2632
938	39869	2590
939	39914	2547
940	39959	2505
941	39999	2462
942	40035	2419
943	40074	2377
944	40113	2334
945	40146	2291
946	40181	2248
947	40214	2205
948	40248	2162
949	40281	2120
950	40320	2077
951	40355	2034
952	40394	1992
953	40428	1949
954	40462	1906
955	40497	1863
956	40527	1820
957	40560	1778
958	40595	1735
959	40628	1692
960	40659	1650
961	40692	1607
962	40723	1564
963	40753	1521
964	40785	1479
965	40819	1436
966	40849	1394
967	40882	1351
968	40916	1308
969	40948	1266
970	40981	1223
971	41014	1181
972	41045	1138
973	41078	1096
974	41113	1054
975	41145	1011
976	41179	969
977	41213	927
978	41248	884
979	41282	842
980	41317	800
981	41349	757
982	41384	715
983	41419	673
984	41453	631
985	41486	589
986	41524	546
987	41569	504
988	41611	462
989	41656	420
990	41694	378
991	41729	336
992	41763	294
993	41802	252
994	41835	210
995	41868	168
996	41901	126
997	41932	84
998	41969	42
999	42007	0
